INC209R_IDENTIFIER,INC_IDENTIFIER,REPORT_FROM_DATE,REPORT_TO_DATE,CURR_INCIDENT_AREA,PCT_CONTAINED_COMPLETED,SIGNIF_EVENTS_SUMMARY,HAZARDS_MATLS_INVOLVMENT_NARR,DAMAGE_ASSESSMENT_INFO,LIFE_SAFETY_HEALTH_STATUS_NARR,WEATHER_CONCERNS_NARR,PROJECTED_ACTIVITY_12,PROJECTED_ACTIVITY_24,PROJECTED_ACTIVITY_48,PROJECTED_ACTIVITY_72,PROJECTED_ACTIVITY_GT72,CURRENT_THREAT_12,CURRENT_THREAT_24,CURRENT_THREAT_48,CURRENT_THREAT_72,CURRENT_THREAT_GT72,CRIT_RES_NEEDS_12,CRIT_RES_NEEDS_24,CRIT_RES_NEEDS_48,CRIT_RES_NEEDS_72,CRIT_RES_NEEDS_GT72,STRATEGIC_DISCUSSION,PLANNED_ACTIONS,EST_IM_COST_TO_DATE,COMPLEXITY_LEVEL_DESCRIPTION,FUEL_MODEL_DESCRIPTION,COMMERCIAL_DAMAGED,COMMERCIAL_DESTROYED,COMMERCIAL_THREATENED_72,MFR_DAMAGED,MFR_DESTROYED,MFR_THREATENED_72,MIXED_USE_DAMAGED,MIXED_USE_DESTROYED,MIXED_USE_THREATENED_72,OUTBUILDINGS_DAMAGED,OUTBUILDINGS_DESTROYED,OUTBUILDINGS_THREATENED_72,SFR_DAMAGED,SFR_DESTROYED,SFR_THREATENED_72,AIR_ATTACK_PERSONNEL,AIR_ATTACK_QUANTITY,CAMP_CREW_PERSONNEL,CAMP_CREW_QUANTITY,CREW_TYPE_1_PERSONNEL,CREW_TYPE_1_QUANTITY,CREW_TYPE_2IA_PERSONNEL,CREW_TYPE_2IA_QUANTITY,CREW_TYPE_2_PERSONNEL,CREW_TYPE_2_QUANTITY,DOZER_PERSONNEL,DOZER_QUANTITY,ENGINE_TYPE_1_PERSONNEL,ENGINE_TYPE_1_QUANTITY,ENGINE_TYPE_2_PERSONNEL,ENGINE_TYPE_2_QUANTITY,ENGINE_TYPE_3_PERSONNEL,ENGINE_TYPE_3_QUANTITY,ENGINE_TYPE_4_PERSONNEL,ENGINE_TYPE_4_QUANTITY,ENGINE_TYPE_5_PERSONNEL,ENGINE_TYPE_5_QUANTITY,ENGINE_TYPE_6_PERSONNEL,ENGINE_TYPE_6_QUANTITY,ENGINE_TYPE_7_PERSONNEL,ENGINE_TYPE_7_QUANTITY,FIXED_WING_AIR_TACTICAL_PERSONNEL,FIXED_WING_AIR_TACTICAL_QUANTITY,HELICOPTER_TYPE_1_PERSONNEL,HELICOPTER_TYPE_1_QUANTITY,HELICOPTER_TYPE_2_PERSONNEL,HELICOPTER_TYPE_2_QUANTITY,HELICOPTER_TYPE_3_PERSONNEL,HELICOPTER_TYPE_3_QUANTITY,MASTICATOR_PERSONNEL,MASTICATOR_QUANTITY,MOBILE_COMMUNICATIONS_CENTER_PERSONNEL,MOBILE_COMMUNICATIONS_CENTER_QUANTITY,MOBILE_KITCHEN_UNIT_PERSONNEL,MOBILE_KITCHEN_UNIT_QUANTITY,OVERHEAD_PERSONNEL,OVERHEAD_QUANTITY,SKIDGINE_PERSONNEL,SKIDGINE_QUANTITY,SUPPORT_WATER_TENDER_PERSONNEL,SUPPORT_WATER_TENDER_QUANTITY,TACTICAL_WATER_TENDER_PERSONNEL,TACTICAL_WATER_TENDER_QUANTITY,TRACTOR_PLOW_TYPE_1_PERSONNEL,TRACTOR_PLOW_TYPE_1_QUANTITY,PUBLIC_EVACUATED_THIS_REP_PERIOD,PUBLIC_EVACUATED_TO_DATE,PUBLIC_SHELTER_IN_PLACE_THIS_REP_PERIOD,PUBLIC_SHELTER_IN_PLACE_TO_DATE,RESPONDER_EVACUATED_THIS_REP_PERIOD,RESPONDER_EVACUATED_TO_DATE,RESPONDER_FATALATIES_THIS_REP_PERIOD,RESPONDER_FATALATIES_TO_DATE,RESPONDER_INJURED_OR_ILL_THIS_REP_PERIOD,RESPONDER_INJURED_OR_ILL_TO_DATE,RESPONDER_SHELTER_IN_PLACE_THIS_REP_PERIOD,RESPONDER_SHELTER_IN_PLACE_TO_DATE,AREA_RESTRICTION_IN_EFFECT,EVACUATION_IN_PROGRESS,NO_LIKELY_THREAT,PLANNING_FOR_EVACUATION,PLANNING_FOR_SHELTER_IN_PLACE,POTENTIAL_FUTURE_THREAT,REPOPULATION_IN_PROGRESS,SHELTER_IN_PLACE_IN_PROGRESS,FULL_SUPPRESSION
4334672,4327598,2016-09-25 08:00:00,2016-09-25 20:00:00,126916,78,Fire activity overnight will be minimal. The fire will creep and smolder as it reaches receptive fuels.,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs

EVACUATION WARNINGS REMAIN IN EFFECT FOR:
All Residences Southwest of E.Carmel Valley  Rd. starting at the intersection of E.Carme","Hot and dry conditions will continue today as high pressure dominates over the local area. 

General winds will be SE around 10 mph with gusts to 20 mph becoming NNW 4-6 mph gusts to 15 mph in the late afternoon. 

Very poor overnight humidity recovery mi",Wind speeds are predicted to be much slower and variable in the evening. Lower probability of ignition percentages will allow for an increased rate of line construction.  Fire behavior will consist of creeping and smoldering with the possibility of short ,Hot temperatures and dry air coupled with a higher than predicted SSW wind tested containment lines with little fire growth. Interior pockets of fuel deep within the containment lines continue to creep and smolder. ,"Fire activity and spread may be influenced by weather events, weather and topography alignment.",,,,,,,,,,,,,,,227426000,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.0,1.0,152.0,11.0,94.33333333333333,4.666666666666667,91.0,4.6,32.5,1.5,7.333333333333333,4.666666666666667,5.5,1.5,,,41.0,8.857142857142858,,,,,31.6,8.4,,,,,5.0,3.0,15.333333333333334,2.6666666666666665,7.0,3.0,5.0,4.0,,,,,45.666666666666664,0.0,5.0,4.0,50.0,49.0,7.5,3.75,2.0,1.0,22.0,0.0,30.0,0.0,,,0.0,1.0,0.0,8.0,,,,Y,,,,Y,,Y,100.0
4334746,4327598,2016-09-29 08:00:00,2016-09-29 09:00:00,129395,92,"Minimal fire activity overnight due to a deep marine layer and high humidity. Interior smoke production and fire activity may be possible do to the drought stricken fuels, even in areas that have been dormant for weeks.",Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality Today: 
More southwest winds are expected as a front approaches, which will continue similar impacts","Conditions expected 0600 This Morning:
Temperatures near active fire area: 55-60 except around 70 thermal belt.
Relative Humidity near active fire area: 15 to 20% ridges...30 to 45% valleys.
Winds near active fire area: 
Valleys: becoming downslope/downva",Predicted lower temperatures and RH associated with the arrival of a deep marine layer will assist in control efforts. Fire behavior is expected to be moderated under the influence of these conditions.,"Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.","Fire activity and spread may be influenced by weather events, weather and topography alignment.",,,,,,,,,,,Timing out resources will need to be replaced. ,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.0,1.0,109.0,8.0,88.0,4.333333333333333,79.33333333333333,4.0,45.0,2.0,6.5,3.5,4.0,1.0,3.0,1.0,52.0,10.666666666666666,4.5,1.0,2.0,1.0,10.0,4.2,,,,,3.0,2.0,7.666666666666667,1.6666666666666667,7.0,3.0,5.0,4.0,,,,,38.5,0.0,3.0,2.0,33.0,32.0,5.666666666666667,3.0,2.0,1.0,22.0,0.0,30.0,0.0,,,0.0,1.0,0.0,9.0,,,,Y,,,,Y,,Y,100.0
4336561,4327598,2016-08-28 20:00:00,2016-08-29 08:00:00,92314,60,"Fire burned actively in several locations at the beginning of the period, and some areas continued to smolder near held lines through the night after a day of bright afternoon sun. 

Branch I, II, IX
No movement, some smoldering pockets of heavy dead and ","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber. Some areas of the fire have fuels that are 70-90 years old. ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

An evacuation warning was issued effective 1800 on August 28th for a s",Marine layer around 2000 feet overnight with warm and dry conditions continuing above. Winds were light with poor humidity recovery. Forecast focus will be on increasing winds this afternoon and tonight as a dry cold front pushes through central Californi,The fire will continue to back into the Carmel drainage and may cross it in additional places. It will continue to flank around and past Miller Mountain. Fire will flank up the sides of the North and South Forks of the Big Sur drainage as it moves south. ,Potential for significant spread in the South Fork of the Sur River drainage with winds aligning from the NW and picking up later in the day.  Uncertain that growth would impact indirect control lines in the next period.,,"Fire activity continues to move south, being mostly terrain and fuel driven except at the tops of ridges where prevailing wind will have more influence.",,,,,,,4 T1HC,,,,,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,89.0,8.0,37.0,2.0,29.5,1.5,43.8,2.2,8.0,6.0,4.0,1.0,,,46.333333333333336,10.666666666666666,,,,,21.5,7.25,,,,,2.0,1.5,21.0,3.5,6.0,3.0,4.5,4.0,,,,,34.45454545454545,0.0,4.0,2.0,10.0,9.5,3.5,2.0,,,10.0,0.0,,,,,0.0,1.0,0.0,4.0,,,,,,Y,,Y,,,100.0
4337252,4327598,2016-10-02 20:00:00,2016-10-03 08:00:00,132092,94,Minimal fire growth occurred today. Interior heavy fuels and unburnt islands continued to consume.,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality: 
Air quality was generally good across the area yesterday. Some minor impacts are being seen for br","

Conditions for Last Night:  Clouds filling in over ridges on fire with areas of mist/drizzle. Lows in mid 30s to mid 40s. Max RHs 80 to 100% ridges and and 70% valleys. Northwest-North winds 15 to 20 mph.

Outlook for Monday: Lingering clouds at ridgeto",Increasing humidity and fuel moisture will moderate fire growth.,Fire behavior is expected to continue to moderate as containment continues to be successful and interior fuels burn down. , No significant fire growth is expected.,No significant fire growth is expected., ,"Power infrastructure, residences and commerce and tourism continue to be at risk. 
Watersheds, habitat for the endangered California Condor, Marbled Murrelet, California Tiger Salamander and the Red Legged Frog are threatened. 
Cultural and heritage resou",,,,,,,Timing out resources will need to be replaced and maintained to support incident needs and objectives. ,,  ,,,244500000,Type 2 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,150.0,1.0,1.0,94.0,7.0,205.0,10.0,79.5,4.0,,,13.0,7.0,4.0,1.0,3.0,1.0,36.0,7.5,5.5,1.0,,,4.0,1.3333333333333333,,,,,50.0,5.0,43.5,3.0,15.0,2.0,5.0,4.0,,,,,32.6,0.0,1.0,1.0,28.0,27.0,6.0,3.0,2.0,1.0,,,,,,,0.0,1.0,0.0,9.0,,,,,,,,,,,100.0
4337894,4327598,2016-10-14 20:00:00,2016-10-15 20:00:00,132127,100,No observed fire activity today but rain has delayed repair suppression efforts on the west side of the fire today.,Mixed fuel models include brush on the slopes with an above average grass crop on ridge lines with scattered pockets of timber.  ,,"The Monterey Ranger District remains closed.

",Significant wetting rain is expected to continue extending into Sunday which has impacted fireline suppression repair efforts.,No night shift operations.  Wetting rain will occur over the fire area.,Continue fireline suppression repair where possible.,,,,No significant threats to life or property,No significant threats to life or property,,,,,,,,,"The duration of the incident is challenging the community's serenity due to the numerous repeat contacts to landowners.  Therefore, implementation of suppression repair is being conducted with sensitivity due to the extended fire personnel presence in the","Fire Suppression Repair continues during daytime operations according to established standards.
",260600000,Type 2 Incident,Chaparral (6 feet),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,0.0,,,68.0,5.0,20.0,1.0,61.0,3.0,42.0,2.0,14.0,9.0,3.0,1.0,,,30.0,6.0,,,,,3.0,1.0,,,,,3.0,1.0,16.0,2.0,4.0,1.0,6.0,5.0,,,,,15.916666666666666,0.0,1.0,1.0,20.0,20.0,6.0,3.0,,,,,,,,,0.0,1.0,0.0,11.0,,,,,Y,,,,,,100.0
4337934,4327598,2016-10-16 20:15:00,2016-10-17 20:00:00,132127,100,No observed fire behavior. Unable to resume fireline suppression repair due to the excessive rain yesterday.,Mixed fuel models include brush on the slopes with an above average grass crop on ridge lines with scattered pockets of timber.  ,,"The Monterey Ranger District remains closed.

",Warming and drying trend through the week will all the resumption of fireline suppression repair. The adverse weather has impacted fireline suppression repair efforts. A moderate off shore wind event is expected to occur south of the fire area.,No night shift operations.  ,Continue fireline suppression repair where possible.,,,,No significant threats to life or property,No significant threats to life or property,,,,,,,,,"The duration of the incident is challenging the community's serenity due to the numerous repeat contacts to landowners.  Therefore, implementation of suppression repair is being conducted with sensitivity due to the extended fire personnel presence in the","Fire Suppression Repair continues during daytime operations according to established standards.
",260800000,Type 2 Incident,Chaparral (6 feet),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,0.0,,,28.0,2.0,,,40.0,2.0,42.0,2.0,10.0,7.0,,,,,,,,,,,,,,,,,,,8.0,1.0,8.0,2.0,6.0,5.0,,,,,14.666666666666666,0.0,1.0,1.0,9.0,9.0,4.0,2.0,,,,,,,,,0.0,1.0,0.0,11.0,,,,,,,,,,,100.0
4335270,4327598,2016-09-08 08:00:00,2016-09-08 20:00:00,102499,60,"M.A.P.s being reviewed and updated by associating actions taken on the fire with observed fire activity. 

TFR adjusted to meet the air tactical needs and reduce the likelihood UAV intrusions. 

Allowed for transition overlap with incoming resources to en","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.
Evacuation warnings remain in effect for the Big-Sur South Coast Center","Light winds, dry conditions, and near normal temperatures were observed across the active burn area today.  Temperatures were down 5-8 degrees compared to yesterday, but humidity minimums were very dry with several of the incident RAWS stations reporting ","Much like previous night, fire activity may be limited by moderate temperatures and smoke settling into drainages.  Downslope and down-valley winds may produce some incremental spread below areas active during the day, but overall growth should be limited","Though a little warmer, winds will be very similar to Thursday, producing upslope and up-drainage spread in unburned fuels that active firelines can find.  Continued spread in Zigzag Creek could push toward ridges above Willow Creek and above the Arroyo S",,"Continued terrain driven fire growth with active spread continuing in the North Fork of the Big Sur drainage, the Lost Valley Creek, and to the north and east of Zigzag Creek.",,,,,,,,,,,,,,,Type 1 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.5,1.0,110.0,9.0,74.66666666666667,3.6666666666666665,34.5,1.75,17.0,1.0,5.0,4.0,4.0,1.0,,,29.833333333333332,6.833333333333333,,,,,21.666666666666668,6.833333333333333,,,,,3.5,3.0,5.5,3.0,4.0,2.0,2.0,2.0,,,,,33.61538461538461,0.0,4.0,2.0,21.5,20.5,3.3333333333333335,1.6666666666666667,,,10.0,0.0,,,,,0.0,1.0,0.0,6.0,,,,,,Y,,Y,,,100.0
4335707,4327598,2016-09-13 08:00:00,2016-09-13 20:00:00,107097,52,Fire behavior moderate due to persistent cloud cover throughout the operational period. afternoon clearing did promote some active fire behavior requiring aerial suppression in the Higgins Creek Drainage.,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"Evacuation order remains in effect for:

All residents along the Tassajara Road south of Chews Ridge.

Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacua","A large upper level low caused clouds to lift to a higher in elevation than expected today, which socked in the fire. Colder temperatures also brought higher humidity levels.  As ridgetop winds turn to easterly this coming night, the clouds are expected t",The fire will move south towards Hot Springs Canyon and southeast towards the Arroyo Seco drainage.,The fire continues south towards DP 136 and southeast through Arroyo Seco drainage.,The fire continues moving towards Rodeo Flats.,"Areas that are holding heat in the drainages may continue to move to slopes with fresh fuels and have potential to make upslope runs.
","Fire activity and spread may be influenced by weather events, weather and topography alignment and firing operations.",,,,,,Resources will be shuffled around the incident to best support the needs of the Incident. Timing out resources will be ordered as needed.,,,,,,,,Type 1 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.0,1.0,113.0,9.0,70.5,3.5,40.333333333333336,2.0,,,4.5,3.0,4.0,1.0,,,31.333333333333332,6.333333333333333,,,,,18.0,4.166666666666667,,,,,4.5,3.0,20.5,3.0,7.0,2.0,2.0,2.0,,,,,36.36363636363637,0.0,4.0,2.0,22.5,21.5,4.666666666666667,2.3333333333333335,,,22.0,0.0,30.0,0.0,,,0.0,1.0,0.0,6.0,,,Y,Y,,,,Y,,Y,100.0
4336130,4327598,2016-08-30 20:00:00,2016-08-31 08:00:00,93714,60,"Fire burning actively in several locations during the burn period, with wind and terrain alignments encouraging spread through shrub and into heavier forest on north slopes.

Branch I, II, IX
No movement, some smoldering pockets of heavy dead and down fue","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacuation warnings remain in effect for a small section of Monterey C",Marine layer remains disrupted behind yesterdays cold front.  Still warm and dry above 1500 feet with lows around 70 and poor to moderate RH recovery around 30%.  Lighter northeast wind tested containment lines above Partington Ridge overnight.  Forecast ,Potential for NE winds to turn fire spread more toward indirect control lines in Branch VII and VIII. ,"On Wednesday, continued windy conditions keep potential for significant spread high, especially in areas that have demonstrated growth recently.  Anticipate some additional growth in Branch II and VIII where fuels and slopes align above active firelines. ","Fire activity continues to move south, being mostly terrain and fuel driven except at the tops of ridges where prevailing wind will have more influence. Concern for recent spread and wind/slope alignments in Carmel River drainage pose risk for further spr",,,,,,,Multiple values are at risk to the south and east. ,"2 T1HC, 2 REMs",2 T1HC,,,,,,,Type 1 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.5,1.0,79.0,7.0,67.5,3.5,29.5,1.5,32.0,1.6,8.0,6.0,4.0,1.0,,,35.333333333333336,8.333333333333334,,,,,23.75,7.75,,,,,2.5,2.0,21.0,3.5,6.0,3.0,4.0,3.5,,,,,32.833333333333336,0.0,4.0,2.0,13.0,12.5,3.0,1.6666666666666667,,,10.0,0.0,,,,,0.0,1.0,1.0,5.0,,,,,,Y,,Y,,,100.0
4337300,4327598,2016-10-02 08:00:00,2016-10-02 20:00:00,132082,92,Minimal fire growth occurred today. Interior heavy fuels and unburnt islands continued to consume. ,Mixed fuel models include brush on the slopes with above an average grass crop on ridge lines with scattered pockets of timber.  ,,"EVACUATION ORDERS REMAIN IN EFFECT FOR:
Tassajara Rd from Chews Ridge south to the end of the road at Tassajara Hot Springs.

HEALTH CONCERN:

Air Quality: 
Air quality was generally good across the area yesterday. Some minor impacts are being seen for br","Conditions 1500 Today: Frontal passage today with only slight increase in afternoon winds. Temperatures in the mid/upper 70s valleys, 60s slopes and  mid 50s higher ridges. Min RHs mid 20s lower slopes and mid 40s upper slopes.  Winds NW 10 to 15 mph with","High winds may influence fire activity where in alignment with terrain but should be short lived due to increasing humidity and fuel moisture. 
Minimal fire growth is expected.
",Fire behavior is expected to continue to moderate as containment continues to be successful and interior fuels burn down. , No significant fire growth is expected.,No significant fire growth is expected., ,"Power infrastructure, residences and commerce and tourism continue to be at risk. 
Watersheds, habitat for the endangered California Condor, Marbled Murrelet, California Tiger Salamander and the Red Legged Frog are threatened. 
Cultural and heritage resou",,,,,,,,,  ,,,,Type 2 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,1.0,1.0,94.0,7.0,205.0,10.0,79.5,4.0,,,13.0,7.0,4.0,1.0,3.0,1.0,36.0,7.5,5.5,1.0,,,4.0,1.3333333333333333,,,,,50.0,5.0,43.5,3.0,15.0,2.0,5.0,4.0,,,,,32.6,0.0,1.0,1.0,28.0,27.0,6.0,3.0,2.0,1.0,,,,,,,0.0,1.0,0.0,9.0,,,,,,,,,,,100.0
4337965,4327598,2016-10-16 20:00:00,2016-10-16 20:15:00,132127,100,No observed fire activity,Mixed fuel models include brush on the slopes with an above average grass crop on ridge lines with scattered pockets of timber.  ,,"The Monterey Ranger District remains closed.

",Significant wetting rain is impacting the west side of the burn area and tapers off as the weather moves east. Adverse weather conditions will extend into Monday morning. The adverse weather has impacted fireline suppression repair efforts.,No night shift operations.  Wetting rain will occur over the fire area.,Continue fireline suppression repair where possible.,,,,No significant threats to life or property,No significant threats to life or property,,,,,,,,,"The duration of the incident is challenging the community's serenity due to the numerous repeat contacts to landowners.  Therefore, implementation of suppression repair is being conducted with sensitivity due to the extended fire personnel presence in the","Fire Suppression Repair continues during daytime operations according to established standards.
",260700000,Type 2 Incident,Chaparral (6 feet),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,0.0,,,28.0,2.0,20.0,1.0,61.0,3.0,42.0,2.0,10.0,7.0,,,,,25.0,5.0,,,,,3.0,1.0,,,,,,,16.0,2.0,8.0,2.0,6.0,5.0,,,,,18.444444444444443,0.0,1.0,1.0,9.0,9.0,4.0,2.0,,,,,,,,,0.0,1.0,0.0,11.0,,,,,Y,,,,,,100.0
4338000,4327598,2016-10-22 20:00:00,2016-10-23 20:00:00,132127,100,Isolated hotspot near the fireline on the east side of the incident are being actively suppressed.,Mixed fuel models include brush on the slopes with an above average grass crop on ridge lines with scattered pockets of timber.  ,,"The Monterey Ranger District remains closed.

","SOME INCREASING SOUTHERLY WINDS, MAINLY WEST SIDE AND NEAR THE COAST AHEAD OF AN
INCOMING WARM FRONT THAT WILL STAY NORTH OF THE AREA. SKIES WILL
BE PARTLY CLOUDY WITH SEASONABLE TEMPERATURES MAINLY FROM THE
UPPER 60S TO LOWER 70S. LATEST MODEL PROJECTION",No night shift operations.  ,Continue fireline suppression repair where possible.,,,,No significant threats to life or property,No significant threats to life or property,,,,,,,,,"The duration of the incident is challenging the community's serenity due to the numerous repeat contacts to landowners.  Therefore, implementation of suppression repair is being conducted with sensitivity due to the extended fire personnel presence in the","Fire Suppression Repair continues during daytime operations according to established standards.
",262500000,Type 2 Incident,Chaparral (6 feet),,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,2.0,2.0,,,,,0.0,0.0,,,,,,,1.0,1.0,,,,,8.0,1.0,,,6.0,5.0,,,,,6.5,0.0,1.0,1.0,3.0,3.0,4.0,2.0,,,,,,,,,0.0,1.0,0.0,12.0,,,,,Y,,,,,,100.0
4334199,4327598,2016-09-07 20:00:00,2016-09-08 08:00:00,102499,60,High pressure is established over the fire area bringing moderate southwest winds and higher temperatures. Fire is burning actively along Zigzag Creek and north of the North Fork of Big Sur. Fire is mainly moving through the heavier brush and dead fuels f,"Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber.  ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacuation warnings remain in effect for the Big-Sur South Coast Cente","We will have more of a southerly onshore flow today, especially against the coastal ridge; but overall winds will still be terrain-influenced upslope to up-canyon.  Tonight, winds will turn light northerly at ridges (northeasterly for coastal ridge), and ","Anticipate continued easterly spread toward the Arroyo Seco drainage. The southeast corner of the fire will continue to move on the slopes above Zigzag creek as fuels, wind, and slope line up. The fire in the Cienega Creek drainage will continue to spread",Fire activity in Branch VI and VII will continue with movement continuing north of Zigzag Creek and north of the North Fork of the Big Sur and will continue moving as slope and fuels align. The fire threat to the Coastal Ridge Road will continue as heat f,,"Anticipate similar fire behavior with similar conditions.
","Fire will continue to move south, being mostly terrain and fuel driven except at the tops of ridges.",,,,,,,,,,,,,184022188,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,110.0,9.0,91.5,4.5,32.666666666666664,1.6666666666666667,18.5,1.0,5.0,4.0,4.0,1.0,,,68.0,16.0,,,,,23.0,7.4,,,,,3.5,3.0,5.5,3.0,4.0,2.0,2.0,2.0,,,,,32.84615384615385,0.0,4.0,2.0,20.0,19.0,3.3333333333333335,1.6666666666666667,,,10.0,0.0,,,,,0.0,1.0,0.0,6.0,,,,,,Y,,Y,,,100.0
4336622,4327598,2016-08-27 20:00:00,2016-08-28 08:00:00,91453,60,"General
Fire burned actively in several locations, and some areas continued to smoulder near held lines after a day of bright afternoon sun.

Branch I, II, IX
No movement, some smouldering pockets of heavy dead and down fuels. 

Branch III, IV, V
Reduced ","Brush on the slopes with above average grass crop on the ridgelines, with pockets of timber. Some areas of the fire have fuels that are 70-90 years old. ",,"Evacuation orders remain in effect for Coast Ridge Road from 1.5 miles above the Ventana Inn to the end of Coast Ridge Road at Marble Peak, and roads that leave from Coast Ridge Road.

Evacuation warnings remain in effect from the Tassajara Road from Carm",Marine layer is around 2200 feet and will compress further today as high pressure continues building. High pressure has resulted in temperatures slightly warmer and humidity slightly lower versus previous days.  Ridge winds remain from the southwest but l,The fire will continue to back into the Carmel drainage and may cross it in additional places. It will continue to flank around and past Miller Mountain. Fire will flank up the sides of the North and South Forks of the Big Sur drainage as it moves south. ,The fire will continue to burn interior islands.  Fire will continue moving south while backing down the flanks of Miller ridge. It will become established in Pine Valley. Fire will move south from Ventana cone to South Ventana Cone.  Fire will progress t,,,"Fire will continue to move south, being mostly terrain and fuel driven except at the tops of ridges.",,,,,,2 T1HC,,,,,,,,Type 1 Incident,Chaparral (6 feet),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,57.0,400.0,1.5,1.0,90.0,9.0,37.0,2.0,24.5,1.25,51.8,2.6,21.0,17.0,4.0,1.0,,,41.0,9.25,,,,,22.2,6.6,,,,,18.0,1.5,25.5,3.0,12.0,3.0,10.0,9.0,,,,,41.09090909090909,0.0,4.0,2.0,11.0,10.0,17.5,15.5,,,10.0,0.0,,,,,0.0,1.0,0.0,4.0,,,,,,Y,,Y,,,100.0
